Time,Temperature_Room_Sensor,Temperature_Exterior_Sensor,Lighting_Room_Sensor,state_window,state_bed,real_action
10:26,19,22,85,0.25,2.36,0
14:00,19,24,59,0.49,2.27,0
18:38,19,15,60,0.31,0.62,2
18:59,20,16,34,1.4,2.16,1
11:48,19,16,80,1.48,0.74,3
14:49,25,16,75,1.04,2.27,5
15:07,18,15,81,1.55,2.24,4
19:14,16,17,88,1.5,1.37,5
17:49,19,15,36,1.44,2.12,1
18:34,19,17,50,0.21,0.81,2
11:46,18,17,79,0.07,2.61,3
14:26,20,17,45,0.31,2.76,4
20:06,18,16,38,0.05,2.78,6
16:39,18,16,35,0.01,0.26,7
18:24,14,15,59,1.46,2.57,5
17:19,20,17,40,1.25,2.55,1
18:15,23,17,85,0.99,1.97,5
12:03,19,17,37,1.75,1.81,6
19:57,18,17,38,0.94,0.97,7
16:18,18,25,43,0.23,2.73,0
17:41,20,15,46,0.63,0.23,2
20:37,17,15,80,1.04,2.51,5
19:49,19,17,20,0.09,1.02,7
10:54,19,25,53,0.72,2.65,0
18:54,18,16,37,1.02,1.88,1
11:01,19,17,85,0.37,2.82,3
19:54,18,17,49,0.89,2.12,4
15:45,20,17,56,1.73,2.74,4
20:21,15,15,42,0.06,1.68,5
16:06,22,15,49,0.36,0.6,5
09:04,18,17,39,1.77,0.82,6
14:38,21,16,70,0.08,1.71,5
10:22,18,16,35,0.86,2.47,6
14:04,18,15,37,0.52,2.29,7
17:40,19,15,65,0.67,0.24,2
11:27,18,15,62,0.5,2.89,3
09:02,19,21,48,0.79,2.95,0
18:48,19,16,56,0.8,0.36,2
09:02,14,16,59,1.54,0.72,5
14:50,21,15,61,1.8,0.42,5
20:21,19,15,35,0.4,1.26,6
17:46,18,17,39,1.54,2.94,1
19:31,19,15,27,0.92,2.36,7
09:23,18,21,51,0.19,0.64,0
09:23,20,15,40,1.1,2.61,4
09:35,14,15,83,1.37,2.32,5
11:36,19,16,75,0.84,1.87,3
20:50,20,16,76,0.78,2.78,4
08:39,21,17,45,2.0,2.57,5
18:15,20,16,27,0.68,2.36,7
08:48,19,24,66,0.88,0.62,0
17:21,20,16,81,0.82,0.93,2
11:37,18,15,41,1.72,2.43,3
17:02,19,17,39,1.39,0.75,1
17:52,18,17,46,1.37,0.22,2
11:55,20,16,85,0.92,1.5,3
16:13,20,16,34,0.09,0.82,6
12:00,19,16,49,0.17,2.95,4
08:38,16,17,72,0.79,2.73,5
21:38,19,15,39,0.92,0.51,6
18:32,19,17,31,0.64,0.8,7
10:14,20,26,66,0.12,0.04,0
17:20,20,15,38,1.91,1.84,1
19:41,18,16,66,2.0,2.41,4
08:45,14,16,53,0.99,1.38,5
18:38,23,17,64,0.51,1.93,5
08:24,18,16,33,0.43,2.35,6
18:44,19,15,20,0.28,2.37,7
12:04,18,22,60,0.09,1.38,0
20:23,26,17,82,1.99,2.22,5
17:09,18,17,37,1.64,0.71,1
17:46,18,17,72,0.53,0.24,2
13:22,23,15,81,1.67,2.43,5
11:22,19,16,44,1.12,2.4,3
10:06,20,15,36,1.34,0.68,6
17:22,18,17,29,0.65,2.55,7
09:49,20,25,51,0.59,0.81,0
18:12,20,15,35,1.74,1.66,1
18:13,20,16,66,1.15,0.15,2
18:25,18,17,33,1.5,0.36,1
17:42,18,17,43,1.92,0.53,2
11:48,20,16,72,0.05,0.08,3
18:19,18,15,82,0.3,2.35,4
19:25,14,16,42,0.18,1.85,5
16:08,27,16,70,0.73,2.46,5
11:27,18,17,50,0.66,0.45,3
09:11,20,17,75,0.89,2.26,4
20:01,17,15,82,1.65,1.25,5
15:34,18,17,34,1.91,0.79,6
14:30,20,17,32,0.36,1.91,7
07:03,20,26,70,0.29,1.34,0
18:10,19,16,31,1.23,2.99,1
15:10,20,17,52,1.08,2.11,4
13:32,14,17,57,1.89,0.33,5
11:43,24,16,77,1.33,1.19,5
18:54,18,16,38,1.95,0.95,1
18:10,18,16,40,1.51,0.11,2
11:54,20,16,62,1.58,2.63,3
20:56,19,17,35,0.56,1.28,6
19:12,18,16,37,0.73,0.2,7
09:01,20,25,69,0.71,1.04,0
12:11,20,15,49,0.54,2.98,4
14:15,15,15,74,0.85,2.13,5
21:40,23,16,74,0.52,1.31,5
08:56,18,16,38,1.01,0.61,6
14:02,19,15,26,0.73,2.79,7
12:30,20,24,56,0.58,2.99,0
17:46,19,16,54,1.32,0.57,2
11:01,20,15,40,0.89,0.89,3
09:14,18,15,30,1.89,1.25,6
17:40,19,15,38,1.22,2.58,1
18:43,18,17,81,1.53,0.73,2
11:37,20,15,63,1.99,2.49,3
13:08,19,17,52,0.38,2.84,4
14:12,14,17,49,0.54,1.56,5
07:24,27,15,87,1.31,1.89,5
07:30,19,16,31,1.54,0.28,6
16:30,20,15,37,0.82,1.61,7
10:05,19,21,43,0.43,1.39,0
18:03,20,15,33,1.76,1.44,1
20:33,18,16,27,0.51,1.25,7
11:21,19,24,67,0.19,2.05,0
17:25,20,17,37,1.47,1.87,1
17:02,20,15,84,0.78,0.95,2
11:31,20,15,83,1.33,1.66,3
10:35,19,15,88,0.13,2.75,4
16:29,19,17,87,0.04,2.18,4
15:08,16,17,71,1.59,2.11,5
18:21,24,17,63,1.45,0.2,5
15:42,14,15,52,1.76,1.35,5
19:06,26,17,66,0.66,2.26,5
16:57,18,15,33,0.18,2.82,6
14:40,20,16,28,0.05,1.01,7
16:49,18,26,62,0.01,2.05,0
18:03,18,16,32,1.57,2.18,1
17:56,19,16,71,1.4,0.25,2
18:34,19,15,87,1.24,0.94,2
11:44,18,15,49,0.99,1.15,3
11:30,19,16,80,0.3,0.59,3
08:34,19,17,53,1.28,2.63,4
19:01,16,15,58,1.9,2.89,5
19:49,27,15,55,0.18,1.59,5
08:14,18,15,34,0.5,1.93,6
18:08,19,15,38,0.38,1.71,7
10:16,18,25,96,0.32,1.52,0
18:02,18,15,72,1.37,0.88,2
11:57,18,17,56,1.06,2.58,3
17:04,18,16,38,1.77,1.09,1
18:58,20,15,69,0.53,0.41,2
11:43,18,17,61,1.96,1.91,3
08:44,19,16,90,0.77,2.71,4
18:08,20,16,37,1.48,1.56,1
10:44,20,17,83,0.85,2.73,4
16:51,15,16,48,1.68,0.48,5
08:48,28,17,61,0.57,2.11,5
13:34,18,16,31,1.15,1.04,6
15:00,19,16,32,0.24,2.69,7
11:45,19,23,82,0.91,0.85,0
17:07,20,16,30,1.9,2.28,1
18:20,18,16,57,1.85,0.84,2
11:07,20,16,63,1.18,0.69,3
19:49,19,15,57,0.1,2.86,4
07:33,16,15,90,0.92,1.01,5
09:44,21,16,56,0.88,0.24,5
18:00,20,16,30,1.93,2.02,6
18:25,20,15,33,1.85,2.37,1
17:01,18,17,49,0.1,0.91,2
